receipt_id,text,label,makro_label,total_belanja
1,cinnamon roll,Coffee Shops,Food & Beverage,66000
2,sunlight lime pop mie ayam tepung segitiga biru indomie goreng fiesta nugget gula pasir garam refina tissue nice s bimoli l beras ramos kopi kapal api mix chitato sapi panggang,Groceries,Food & Beverage,537300
3,paket burger combo paket hemat spicy chicken wings chicken popcorn pudding chocolate ice cream cone cola medium,Fast Food,Food & Beverage,296500
4,paket ayam nasi cola medium take away bag,Fast Food,Food & Beverage,85000
5,capcay seafood cumi saus padang,Restaurants,Food & Beverage,180000
6,body mist wardah lightening toner garnier micellar water,Beauty,Health & Personal Care,97000
7,spaghetti chicken pb burger cheese cola medium,Fast Food,Food & Beverage,125500
8,revvo,Gas & Fuel,Transportation,94000
9,wardah lightening toner skintific moisturizer emina lip cream ellips hair vitamin body mist garnier micellar water maybelline fit me somethinc serum,Beauty,Health & Personal Care,607500
10,tepung segitiga biru sunlight lime pepsodent pop mie ayam ultra milk coklat kecap bango nu green tea aqua mie sedaap soto,Groceries,Food & Beverage,179000
11,vitamin c mg betadine termometer digital,Health,Health & Personal Care,316000
12,roma kelapa chitato sapi panggang pepsodent,Groceries,Food & Beverage,120000
13,ellips hair vitamin body mist,Beauty,Health & Personal Care,82000
14,nasi putih ice cream cone spicy chicken wings burger cheese rice bowl chicken,Fast Food,Food & Beverage,207000
15,ponds face wash hand cream body mist emina lip cream,Beauty,Health & Personal Care,251000
16,bebek goreng capcay seafood gurame bakar bakso urat air mineral jeruk hangat,Restaurants,Food & Beverage,685000
17,oralit sachet betadine panadol biru strip enervon c botol,Health,Health & Personal Care,117000
18,webcam full hd mouse wireless,Electronics & Software,Lifestyle & Entertainment,602500
19,kopi kapal api mix sosis so nice telur ayam gula pasir,Groceries,Food & Beverage,93000
20,service charge air mineral sop iga,Restaurants,Food & Beverage,255000
21,plastik sampah x kain pel super pell rinso deterjen baygon aerosol,Household,Housing & Utilities,383700
22,tol jakarta cikampek bagasi tambahan,Transportation,Transportation,267500
23,travel antarkota tol dalam kota tiket krl,Transportation,Transportation,321000
24,sop iga bebek goreng,Restaurants,Food & Beverage,380000
25,capcay seafood sate ayam tsk,Restaurants,Food & Beverage,90000
26,tiket krl,Transportation,Transportation,4000
27,stella pengharum attack easy molto pewangi sikat wc sos pembersih lantai super pell karbol wangi,Household,Housing & Utilities,342100
28,yakult saus sambal abc sunlight lime indomie ayam bawang tepung segitiga biru,Groceries,Food & Beverage,100000
29,bimoli l roti tawar sari roti frisian flag uht lifebuoy sabun batang pop mie ayam beras ramos piattos sapi panggang,Groceries,Food & Beverage,265500
30,french fries pudding chocolate spicy chicken wings cola medium lemon tea ayam goreng crispy rice bowl chicken paket burger combo nasi putih ice cream cone,Fast Food,Food & Beverage,631500
31,garnier micellar water herborist body butter azarine sunscreen emina lip cream ponds face wash scarlett body scrub body mist,Beauty,Health & Personal Care,736000
32,termometer digital enervon c botol,Health,Health & Personal Care,135700
33,scarlett body scrub,Beauty,Health & Personal Care,78000
34,ayam bakar madu dimsum ayam es cendol,Restaurants,Food & Beverage,137000
35,enervon c botol sanmol tablet obh combi,Health,Health & Personal Care,74000
36,bebek goreng,Restaurants,Food & Beverage,112000
37,soto ayam air mineral,Restaurants,Food & Beverage,36000
38,sunlight lime sikat wc stella pengharum karbol wangi plastik sampah x tissue paseo s rinso deterjen attack easy lap microfiber,Household,Housing & Utilities,628100
39,speaker bluetooth,Electronics & Software,Lifestyle & Entertainment,219000
40,brownies,Coffee Shops,Food & Beverage,31600
41,good day cappuccino le minerale sosis so nice frisian flag uht pop mie ayam kecap bango telur ayam,Groceries,Food & Beverage,178500
42,piattos sapi panggang indomie ayam bawang pop mie ayam le minerale,Groceries,Food & Beverage,26000
43,burger cheese lemon tea french fries,Fast Food,Food & Beverage,80500
44,aqua oreo vanilla teh pucuk mie sedaap soto yakult tissue nice s,Groceries,Food & Beverage,291000
45,flashdisk keyboard usb,Electronics & Software,Lifestyle & Entertainment,255500
46,antangin cair obh combi masker medis hansaplast,Health,Health & Personal Care,96000
47,wipol,Household,Housing & Utilities,110000
48,shell v power kopi kaleng,Gas & Fuel,Transportation,170000
49,anti gores hp keyboard usb,Electronics & Software,Lifestyle & Entertainment,202500
50,termometer digital oralit sachet sanmol tablet,Health,Health & Personal Care,78000
51,nasi goreng spesial jeruk hangat cumi saus padang kwetiau siram sapi sop iga dimsum ayam sate ayam tsk ayam bakar madu mie ayam jamur bebek goreng,Restaurants,Food & Beverage,611900
52,mie sedaap soto fiesta nugget,Groceries,Food & Beverage,220000
53,karbol wangi,Household,Housing & Utilities,22000
54,air mineral cumi saus padang tax resto bakso urat,Restaurants,Food & Beverage,123900
55,ellips hair vitamin maybelline fit me hand cream,Beauty,Health & Personal Care,177900
56,tissue nice s garam refina saus sambal abc tepung segitiga biru beras ramos lifebuoy sabun batang,Groceries,Food & Beverage,342000
57,masker medis komix jahe sanmol tablet,Health,Health & Personal Care,70000
58,pepsodent chitato sapi panggang oreo vanilla kopi kapal api mix,Groceries,Food & Beverage,54500
59,sekrup set rak susun tingkat obeng set lampu led jam dinding storage box l organizer drawer cat tembok gantungan baju set talenan,Home Improvement,Housing & Utilities,1486500
60,lychee tea brownies kopi susu gula aren cappuccino chocolate ice,Coffee Shops,Food & Beverage,507000
61,nasi goreng spesial capcay seafood air mineral mie ayam jamur,Restaurants,Food & Beverage,428600
62,spicy chicken wings cola medium chicken nugget,Fast Food,Food & Beverage,117000
63,oreo vanilla nu green tea bimoli l,Groceries,Food & Beverage,61500
64,tepung segitiga biru le minerale indomie goreng filma minyak l lifebuoy sabun batang,Groceries,Food & Beverage,82800
65,indomie ayam bawang,Groceries,Food & Beverage,4000
66,sekrup set gantungan baju set lampu led rak susun tingkat,Home Improvement,Housing & Utilities,410000
67,chocolate ice kopi susu gula aren es kopi pandan spanish latte cappuccino extra shot cinnamon roll,Coffee Shops,Food & Beverage,184300
68,bakso urat nasi putih mie goreng jawa,Restaurants,Food & Beverage,213000
