Date,Category,Transaction Type,Amount_IDR,Macro_Category
2018-09-20,Transportation,Expense,6244.298245614034,Transportation
2018-09-20,Food,Expense,12488.596491228069,Food & Beverage
2018-09-19,subscription,Expense,41420.51169590643,Lifestyle & Entertainment
2018-09-17,subscription,Expense,3954.722222222222,Lifestyle & Entertainment
2018-09-16,Festivals,Expense,52243.961988304094,Lifestyle & Entertainment
2018-09-15,subscription,Expense,41628.65497076023,Lifestyle & Entertainment
2018-09-14,Transportation,Expense,10407.163742690058,Transportation
2018-09-13,Transportation,Expense,8325.730994152047,Transportation
2018-09-13,Other,Expense,17275.891812865495,Others
2018-09-13,Food,Expense,9574.590643274852,Food & Beverage
2018-09-12,subscription,Expense,138831.56432748536,Lifestyle & Entertainment
2018-09-11,Food,Expense,135293.12865497076,Food & Beverage
2018-09-11,Other,Income,728501.461988304,Others
2018-09-11,Food,Expense,7493.157894736842,Food & Beverage
2018-09-10,Food,Expense,7493.157894736842,Food & Beverage
2018-09-08,Family,Expense,8325.730994152047,Others
2018-09-07,Food,Expense,7701.3011695906425,Food & Beverage
2018-09-06,Food,Expense,11447.880116959064,Food & Beverage
2018-09-05,Apparel,Expense,16027.03216374269,Lifestyle & Entertainment
2018-09-05,Food,Expense,6244.298245614034,Food & Beverage
2018-09-05,Food,Expense,8325.730994152047,Food & Beverage
2018-09-05,Food,Expense,4995.438596491228,Food & Beverage
2018-09-05,Food,Expense,7493.157894736842,Food & Beverage
2018-09-05,Food,Expense,3746.578947368421,Food & Beverage
2018-09-03,Family,Expense,416286.5497076023,Others
2018-08-31,Family,Expense,208143.27485380115,Others
2018-08-31,Gift,Expense,24560.906432748536,Lifestyle & Entertainment
2018-08-31,Food,Expense,106329.99195906433,Food & Beverage
2018-08-31,Salary,Income,14623105.774853801,Income & Rewards
2018-08-31,Food,Expense,7493.157894736842,Food & Beverage
2018-08-30,Food,Expense,16235.17543859649,Food & Beverage
2018-08-30,Household,Expense,71393.14327485379,Housing & Utilities
2018-08-29,Food,Expense,5619.868421052632,Food & Beverage
2018-08-29,Food,Expense,3122.149122807017,Food & Beverage
2018-08-29,Food,Expense,7493.157894736842,Food & Beverage
2018-08-28,Dividend earned on Shares,Income,1404.967105263158,Income & Rewards
2018-08-28,Dividend earned on Shares,Income,3746.578947368421,Income & Rewards
2018-08-27,Food,Expense,4162.8654970760235,Food & Beverage
